id,formula,tc,origin,cluster,action
Y1Ba2Cu2.94Zr0.06O6.82-MP-mp-20674.cif,Y1Ba2Cu2.94Zr0.06O6.82,0.0,new,Ba-Cu-O-Y-Zr|Y1Ba2Cu2.94Zr0.06O6.81,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y1Ba2Cu2.94Zr0.06O6.81-MP-mp-20674.cif,Y1Ba2Cu2.94Zr0.06O6.81,92.3,new,Ba-Cu-O-Y-Zr|Y1Ba2Cu2.94Zr0.06O6.81,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ca0.35Cu2Ga1Sr2Y0.65O7-MP-mp-1218546-synth_doped.cif,Ca0.35Cu2Ga1Sr2Y0.65O7,27.0,V45,Ca-Cu-Ga-O-Sr-Y|Ca0.35Cu2Ga1Sr2Y0.65O7,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Y0.65Ca0.35Sr2Cu2Ga1O6.94-MP-mp-1218712.cif,Y0.65Ca0.35Sr2Cu2Ga1O6.94,0.0,new,Ca-Cu-Ga-O-Sr-Y|Ca0.35Cu2Ga1Sr2Y0.65O7,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.9Sr0.1Ca1Cu2O6.02-MP-mp-1213978.cif,La1.9Sr0.1Ca1Cu2O6.02,0.0,new,Ca-Cu-La-O-Sr|La1.9Sr0.1Ca1Cu2O6.03,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.9Sr0.1Ca1Cu2O6.03-MP-mp-1213978.cif,La1.9Sr0.1Ca1Cu2O6.03,43.0,new,Ca-Cu-La-O-Sr|La1.9Sr0.1Ca1Cu2O6.03,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.99-MP-mp-1208525.cif,Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.99,0.0,new,Ca-Cu-O-Pb-Sr-Y|Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.97,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.97-MP-mp-1208525.cif,Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.97,67.0,new,Ca-Cu-O-Pb-Sr-Y|Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.97,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ca0.2Cu2Sr2Tl1Y0.8O7-MP-mp-1218486-synth_doped.cif,Ca0.2Cu2Sr2Tl1Y0.8O7,0.0,V45,Ca-Cu-O-Sr-Tl-Y|Tl1Sr2Ca0.2Y0.8Cu2O6.97,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Tl1Sr2Ca0.2Y0.8Cu2O6.97-MP-mp-1218486.cif,Tl1Sr2Ca0.2Y0.8Cu2O6.97,93.0,new,Ca-Cu-O-Sr-Tl-Y|Tl1Sr2Ca0.2Y0.8Cu2O6.97,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Tl1.2Sr2Ca0.8Cu2O6.862-MP-mp-20824.cif,Tl1.2Sr2Ca0.8Cu2O6.862,60.0,new,Ca-Cu-O-Sr-Tl|Tl1.2Sr2Ca0.8Cu2O6.862,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Tl1.2Sr2Ca0.8Cu2O6.934-MP-mp-20824.cif,Tl1.2Sr2Ca0.8Cu2O6.934,0.0,new,Ca-Cu-O-Sr-Tl|Tl1.2Sr2Ca0.8Cu2O6.862,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Gd1.1Nd0.75Ce0.15Cu1O4-MP-mp-4860.cif,Gd1.1Nd0.75Ce0.15Cu1O4,0.0,new,Ce-Cu-Gd-Nd-O|Nd0.74Gd1.11Ce0.15Cu1O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Nd0.74Gd1.11Ce0.15Cu1O4-MP-mp-4860.cif,Nd0.74Gd1.11Ce0.15Cu1O4,12.0,new,Ce-Cu-Gd-Nd-O|Nd0.74Gd1.11Ce0.15Cu1O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ce0.02Cu2Gd0.98Ru1Sr2O8-MP-mp-1194240-synth_doped.cif,Ce0.02Cu2Gd0.98Ru1Sr2O8,13.0,V45,Ce-Cu-Gd-O-Ru-Sr|Ce0.02Cu2Gd0.98Ru1Sr2O8,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ce0.05Cu2Gd0.95Ru1Sr2O8-MP-mp-1194240-synth_doped.cif,Ce0.05Cu2Gd0.95Ru1Sr2O8,0.0,V45,Ce-Cu-Gd-O-Ru-Sr|Ce0.02Cu2Gd0.98Ru1Sr2O8,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ru1Sr2Gd1.4Ce0.6Cu2O10-MP-mp-1218883.cif,Ru1Sr2Gd1.4Ce0.6Cu2O10,45.0,new,Ce-Cu-Gd-O-Ru-Sr|Ru1Sr2Gd1.4Ce0.6Cu2O10,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
RuSr2Gd1.4Ce0.6Cu2O10-MP-mp-1218883.cif,RuSr2Gd1.4Ce0.6Cu2O10,0.0,new,Ce-Cu-Gd-O-Ru-Sr|Ru1Sr2Gd1.4Ce0.6Cu2O10,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ce0.064Cu1La1.936O4-MP-mp-1077929-synth_doped.cif,Ce0.064Cu1La1.936O4,13.8,V45,Ce-Cu-La-O|Ce0.064Cu1La1.936O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ce0.06Cu1La1.94O4-MP-mp-1077929-synth_doped.cif,Ce0.06Cu1La1.94O4,0.0,V45,Ce-Cu-La-O|Ce0.064Cu1La1.936O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ce0.04Cu1Pr1.96O4-MP-mp-4181-synth_doped.cif,Ce0.04Cu1Pr1.96O4,23.6,V45,Ce-Cu-O-Pr|Ce0.04Cu1Pr1.96O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Ce0.05Cu1Pr1.95O4-MP-mp-4181-synth_doped.cif,Ce0.05Cu1Pr1.95O4,0.0,V45,Ce-Cu-O-Pr|Ce0.04Cu1Pr1.96O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Cr0.95Cu1Fe0.05O2-MP-mp-510625-synth_doped.cif,Cr0.95Cu1Fe0.05O2,117.5,V45,Cr-Cu-Fe-O|Cr0.95Cu1Fe0.05O2,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Cu(Cr0.94Fe0.06)O2-MP-mp-510625.cif,Cu(Cr0.94Fe0.06)O2,0.0,new,Cr-Cu-Fe-O|Cr0.95Cu1Fe0.05O2,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.815Sr0.185Cu0.965Fe0.035O4-MP-mp-1077929.cif,La1.815Sr0.185Cu0.965Fe0.035O4,0.0,new,Cu-Fe-La-O-Sr|La1.82Sr0.18Cu0.97Fe0.03O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.82Sr0.18Cu0.97Fe0.03O4-MP-mp-1077929.cif,La1.82Sr0.18Cu0.97Fe0.03O4,29.0,new,Cu-Fe-La-O-Sr|La1.82Sr0.18Cu0.97Fe0.03O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Sr0.2La0.9Gd0.9Cu1O4-MP-mp-1218202.cif,Sr0.2La0.9Gd0.9Cu1O4,0.0,new,Cu-Gd-La-O-Sr|Gd0.91La0.89Sr0.2Cu1O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Gd0.91La0.89Sr0.2Cu1O4-MP-mp-1218202.cif,Gd0.91La0.89Sr0.2Cu1O4,13.5,new,Cu-Gd-La-O-Sr|Gd0.91La0.89Sr0.2Cu1O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Cu1La1.89Na0.11O4-MP-mp-1077929-synth_doped.cif,Cu1La1.89Na0.11O4,16.0,V45,Cu-La-Na-O|Cu1La1.89Na0.11O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Cu1La1.9Na0.1O4-MP-mp-1077929-synth_doped.cif,Cu1La1.9Na0.1O4,0.0,V45,Cu-La-Na-O|Cu1La1.89Na0.11O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.425Nd0.4Sr0.175Cu1O4-MP-mp-1223089.cif,La1.425Nd0.4Sr0.175Cu1O4,25.0,new,Cu-La-Nd-O-Sr|La1.425Nd0.4Sr0.175Cu1O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.44Nd0.4Sr0.16Cu1O4-MP-mp-1223089.cif,La1.44Nd0.4Sr0.16Cu1O4,0.0,new,Cu-La-Nd-O-Sr|La1.425Nd0.4Sr0.175Cu1O4,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Sr0.9La0.1Cu0.98Ni0.02O2-MP-mp-37514.cif,Sr0.9La0.1Cu0.98Ni0.02O2,0.0,new,Cu-La-Ni-O-Sr|Sr0.9La0.1Cu0.99Ni0.01O2,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Sr0.9La0.1Cu0.99Ni0.01O2-MP-mp-37514.cif,Sr0.9La0.1Cu0.99Ni0.01O2,30.0,new,Cu-La-Ni-O-Sr|Sr0.9La0.1Cu0.99Ni0.01O2,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.8Pr0.2Cu1O4.11-MP-mp-757399.cif,La1.8Pr0.2Cu1O4.11,0.0,new,Cu-La-O-Pr|La1.8Pr0.2Cu1O4.0631,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
La1.8Pr0.2Cu1O4.0631-MP-mp-757399.cif,La1.8Pr0.2Cu1O4.0631,20.2,new,Cu-La-O-Pr|La1.8Pr0.2Cu1O4.0631,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Cu1La2O4.32-MP-mp-1077929-synth_doped.cif,Cu1La2O4.32,37.5,V45,Cu-La-O|Cu1La2O4.32,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Cu1La2O4.33-MP-mp-1077929-synth_doped.cif,Cu1La2O4.33,0.0,V45,Cu-La-O|Cu1La2O4.32,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Tb1Sr2Cu2.69Mo0.31O7-MP-mp-1079351.cif,Tb1Sr2Cu2.69Mo0.31O7,34.5,new,Cu-Mo-O-Sr-Tb|Tb1Sr2Cu2.69Mo0.31O7,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
TbSr2Cu2.69Mo0.31O6.97-MP-mp-1079351.cif,TbSr2Cu2.69Mo0.31O6.97,0.0,new,Cu-Mo-O-Sr-Tb|Tb1Sr2Cu2.69Mo0.31O7,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Tb1Sr2Cu2.7Mo0.3O7.15-MP-mp-1079351.cif,Tb1Sr2Cu2.7Mo0.3O7.15,37.0,new,Cu-Mo-O-Sr-Tb|Tb1Sr2Cu2.7Mo0.3O7.15,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
Tb1Sr2Cu2.7Mo0.3O7.12-MP-mp-1079351.cif,Tb1Sr2Cu2.7Mo0.3O7.12,0.0,new,Cu-Mo-O-Sr-Tb|Tb1Sr2Cu2.7Mo0.3O7.15,"1-vs-1 zero-vs-SC conflict: both dropped (user, 2026-09-14)"
