id,formula,tc,origin,severity,n_flags,reasons
La1.81Sr0.19Cu0.995Zn0.005O4-MP-mp-1077929.cif,La1.81Sr0.19Cu0.995Zn0.005O4,29.0,new,1,1,A:trace-dopant(Zn 0.0007)
La1.87Sr0.13Cu0.9975Zn0.0025O4-MP-mp-1077929.cif,La1.87Sr0.13Cu0.9975Zn0.0025O4,28.92,new,1,1,A:trace-dopant(Zn 0.0004)
La1.85Sr0.15Cu0.992Al0.008O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.992Al0.008O4,28.75,new,1,1,A:trace-dopant(Al 0.0011)
Sm1Ba2Cu3O6.554-MP-mp-21451.cif,Sm1Ba2Cu3O6.554,28.75,new,1,1,E:literature-IQR-15.9K(n=2)
La1.85Sr0.09Ca0.034Ba0.026Cu1O4-MP-mp-1077929.cif,La1.85Sr0.09Ca0.034Ba0.026Cu1O4,28.5,new,1,1,A:trace-dopant(Ba 0.0037)
La1.85Sr0.15Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.99Zn0.01O4,28.36,new,1,1,A:trace-dopant(Zn 0.0014)
La1.82Sr0.18Cu0.99Ru0.01O4-MP-mp-1077929.cif,La1.82Sr0.18Cu0.99Ru0.01O4,28.3,new,1,1,A:trace-dopant(Ru 0.0014)
La0.77Y0.23Fe0.995Mn0.005As1F0.11O0.89-MP-mp-1223197.cif,La0.77Y0.23Fe0.995Mn0.005As1F0.11O0.89,27.9,new,1,1,A:trace-dopant(Mn 0.0013)
La1.85Sr0.15Cu0.996Fe0.004O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.996Fe0.004O4,27.825,new,1,1,A:trace-dopant(Fe 0.0006)
La1.85Sr0.15Cu0.985Ni0.015O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.985Ni0.015O4,27.8,new,1,1,A:trace-dopant(Ni 0.0021)
La0.8Y0.2Fe0.997Mn0.003As1F0.11O0.89-MP-mp-1223197.cif,La0.8Y0.2Fe0.997Mn0.003As1F0.11O0.89,27.525,new,1,1,A:trace-dopant(Mn 0.0008)
La1Fe0.985Ru0.015As1F0.11O0.89-MP-mp-1281007.cif,La1Fe0.985Ru0.015As1F0.11O0.89,27.5,new,1,1,A:trace-dopant(Ru 0.0037)
Y1Ba2Cu2.9Zn0.1O6.81-MP-mp-20674.cif,Y1Ba2Cu2.9Zn0.1O6.81,27.5,new,1,1,E:literature-IQR-27.5K(n=2)
La1.65Nd0.2Ca0.122Ba0.028Cu1O3.99-MP-mp-1077929.cif,La1.65Nd0.2Ca0.122Ba0.028Cu1O3.99,27.1,new,1,1,A:trace-dopant(Ba 0.0040)
La1.8Sr0.2Cu0.995Zn0.005O4-MP-mp-1077929.cif,La1.8Sr0.2Cu0.995Zn0.005O4,27.0,new,1,1,A:trace-dopant(Zn 0.0007)
La1.836Sr0.164Cu0.99Ga0.01O4-MP-mp-1077929.cif,La1.836Sr0.164Cu0.99Ga0.01O4,26.9,new,1,1,A:trace-dopant(Ga 0.0014)
Nd0.95Pr0.05Ba2Cu3O6.65-MP-mp-22719.cif,Nd0.95Pr0.05Ba2Cu3O6.65,26.7,new,1,1,A:trace-dopant(Pr 0.0040)
La1.81Sr0.19Cu0.99Ru0.01O4-MP-mp-1077929.cif,La1.81Sr0.19Cu0.99Ru0.01O4,26.5,new,1,1,A:trace-dopant(Ru 0.0014)
La1.834Sr0.166Cu0.99Zn0.01O4-MP-mp-1077929.cif,La1.834Sr0.166Cu0.99Zn0.01O4,26.5,new,1,1,A:trace-dopant(Zn 0.0014)
Ba0.6K0.4Bi0.99Pr0.01O3-MP-mp-1516766.cif,Ba0.6K0.4Bi0.99Pr0.01O3,26.4,new,1,1,A:trace-dopant(Pr 0.0020)
Y1Ba2Cu2.95Fe0.05O6.6-MP-mp-1228425.cif,Y1Ba2Cu2.95Fe0.05O6.6,26.2,new,1,1,A:trace-dopant(Fe 0.0040)
La1.985Sr0.015Cu1O4.032-MP-mp-757399.cif,La1.985Sr0.015Cu1O4.032,26.0,new,1,1,A:trace-dopant(Sr 0.0021)
