id,formula,tc,origin,cls,n_nbr,nbr_median,nbr_min,nbr_max,nearest,nearest_tc,nearest_dist,chemsys
Ba2Cu1Hg1O4.37-MP-mp-6562-synth_doped.cif,Ba2Cu1Hg1O4.37,37.5,V45,mid-outlier,17,82.0,0.0,97.4,Ba2Cu1Hg1O4.39,24.2,0.002,Ba-Cu-Hg-O
Cu1Nd0.14Sr0.86O2-MP-mp-5787-synth_doped.cif,Cu1Nd0.14Sr0.86O2,37.5,V45,mid-outlier,5,18.0,0.0,40.0,Sr0.84Nd0.16Cu1O2.01,40.0,0.012,Cu-Nd-O-Sr
La1.67Sr0.33Cu1O4-MP-mp-1218244.cif,La1.67Sr0.33Cu1O4,37.0,new,mid-outlier,20,6.5,0.0,37.0,La1.65Sr0.35Cu1O4,0.0,0.006,Cu-La-O-Sr
Ba2Cu1Hg1O4.032-MP-mp-6562-synth_doped.cif,Ba2Cu1Hg1O4.032,36.0,V45,mid-outlier,35,88.0,0.0,98.0,Ba2Cu1Hg1O4.033,48.0,0.0,Ba-Cu-Hg-O
Y0.5Pr0.5Ba1Sr1Cu3O6.9-MP-mp-1228182.cif,Y0.5Pr0.5Ba1Sr1Cu3O6.9,36.0,new,mid-outlier,8,9.0,0.0,56.75,Y0.5Pr0.5Ba1Sr1Cu3O6.95,0.0,0.004,Ba-Cu-O-Pr-Sr-Y
Tl1Sr2Ca0.4Y0.6Cu2O7-MP-mp-1218486.cif,Tl1Sr2Ca0.4Y0.6Cu2O7,35.0,new,mid-outlier,3,92.0,92.0,92.0,Tl1Sr2Ca0.4Y0.6Cu2O6.93,92.0,0.005,Ca-Cu-O-Sr-Tl-Y
La1.1Ba1.5Ca0.4Cu3O7.25-MP-mp-505315.cif,La1.1Ba1.5Ca0.4Cu3O7.25,35.0,new,mid-outlier,20,71.0,0.0,79.8,La1.1Ba1.5Ca0.4Cu3O7.17,70.0,0.006,Ba-Ca-Cu-La-O
Hg0.85Re0.15Ba2Cu1O4.58-MP-mp-1147523.cif,Hg0.85Re0.15Ba2Cu1O4.58,34.85,new,mid-outlier,6,95.0,93.7,96.8,Hg0.85Re0.15Ba2Cu1O4.55,93.7,0.003,Ba-Cu-Hg-O-Re
La1.85Sr0.15Cu0.9975Co0.0025O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.9975Co0.0025O4,34.8,new,mid-outlier,12,12.9,0.0,31.8,La1.85Sr0.15Cu0.996Co0.004O4,30.6,0.0,Co-Cu-La-O-Sr
La1.85Sr0.15Cu0.9975Zn0.0025O4-MP-mp-1077929.cif,La1.85Sr0.15Cu0.9975Zn0.0025O4,34.8,new,mid-outlier,63,13.1,0.0,30.8375,La1.85Sr0.15Cu0.9925Zn0.0075O4,30.8375,0.001,Cu-La-O-Sr-Zn
