id,formula,tc,origin,cluster,n,n_zero,n_pos,action
Y0.4Pr0.6Ba2Cu3O6.95-MP-mp-1228182.cif,Y0.4Pr0.6Ba2Cu3O6.95,9.0,new,Ba-Cu-O-Pr-Y|Ba2Cu3Pr0.5Y0.5O7,15,8,7,minority sc (8 zero vs 7 SC)
Y0.44Pr0.56Ba2Cu3O6.93-MP-mp-1228182.cif,Y0.44Pr0.56Ba2Cu3O6.93,2.1,new,Ba-Cu-O-Pr-Y|Ba2Cu3Pr0.5Y0.5O7,15,8,7,minority sc (8 zero vs 7 SC)
Y0.5Pr0.5Ba2Cu3O6.96-MP-mp-1228182.cif,Y0.5Pr0.5Ba2Cu3O6.96,11.0,new,Ba-Cu-O-Pr-Y|Ba2Cu3Pr0.5Y0.5O7,15,8,7,minority sc (8 zero vs 7 SC)
Y0.47Pr0.53Ba2Cu3O6.96-MP-mp-1228182.cif,Y0.47Pr0.53Ba2Cu3O6.96,13.5,new,Ba-Cu-O-Pr-Y|Ba2Cu3Pr0.5Y0.5O7,15,8,7,minority sc (8 zero vs 7 SC)
Y0.5Pr0.5Ba2Cu3O6.8-MP-mp-1228182.cif,Y0.5Pr0.5Ba2Cu3O6.8,0.0,new,Ba-Cu-O-Pr-Y|Y0.5Pr0.5Ba2Cu3O6.68,8,1,7,minority zero (1 zero vs 7 SC)
Y0.6Pr0.4Ba2Cu3O6.45-MP-mp-1229245.cif,Y0.6Pr0.4Ba2Cu3O6.45,0.0,new,Ba-Cu-O-Pr-Y|Y0.6Pr0.4Ba2Cu3O6.53,3,1,2,minority zero (1 zero vs 2 SC)
Pr1Ba2Cu3O6.8-MP-mp-20936.cif,Pr1Ba2Cu3O6.8,81.0,new,Ba-Cu-O-Pr|Pr1Ba2Cu3O6.8,8,7,1,minority sc (7 zero vs 1 SC)
Sm1.05Ba1.95Cu3O6.94-MP-mp-21451.cif,Sm1.05Ba1.95Cu3O6.94,0.0,new,Ba-Cu-O-Sm|Sm1.05Ba1.95Cu3O6.87,3,1,2,minority zero (1 zero vs 2 SC)
Sm1.3Ba1.7Cu3O6.996-MP-mp-21451.cif,Sm1.3Ba1.7Cu3O6.996,0.0,new,Ba-Cu-O-Sm|Sm1.27Ba1.73Cu3O7.05,3,1,2,minority zero (1 zero vs 2 SC)
Sm1Ba2Cu3O6.64-MP-mp-21451.cif,Sm1Ba2Cu3O6.64,0.0,new,Ba-Cu-O-Sm|Sm1Ba2Cu3O7.11,19,4,15,minority zero (4 zero vs 15 SC)
