id,tc_38,std_38,tc_49,std_49,tc_51,std_51,tc_mean,tc_min,tc_max,formula,e_above_hull,band_gap,is_metal,theoretical,nsites,spacegroup,crystal_system,is_magnetic,magnetization,density,known_parent,chem,supercon_tc_exact,supercon_tc_family,supercon
mp-1029932,0.583,0.497,0.344,0.484,0.056,0.083,0.32766666666666666,0.056,0.583,LiVN2,0.0,1.2871000000000001,False,True,16.0,Pna2_1,Orthorhombic,False,0.0,3.173721524049369,False,other,,,none
mp-1186611,0.301,0.264,0.438,0.133,0.244,0.215,0.32766666666666666,0.244,0.438,PmNdGa2,0.014411840312497759,0.0,True,True,4.0,Fm-3m,Cubic,False,4.6e-06,7.191677680410144,False,other,,,none
mp-12732,0.487,0.438,0.367,0.317,0.129,0.102,0.32766666666666666,0.129,0.487,Dy3(CuSi)4,0.0051879681818185475,0.0,True,False,11.0,Immm,Orthorhombic,False,1e-07,7.763575575037215,False,other,,,none
mp-18909,0.345,0.234,0.169,0.103,0.469,0.095,0.32766666666666666,0.169,0.469,BaNi2(PO4)2,0.0,0.0752000000000006,False,False,13.0,R-3,Trigonal,True,0.0,4.568922467151094,False,nickelate,,,none
mp-4796,0.291,0.242,0.598,1.453,0.094,0.145,0.32766666666666666,0.094,0.598,GdScGe,0.0,0.0,True,False,6.0,I4/mmm,Tetragonal,False,16.1079784,6.442556488460056,False,other,,,none
mp-1517812,0.721,0.42,0.042,0.051,0.22,0.25,0.32766666666666666,0.042,0.721,BaSrTbVO6,0.11488135543751721,1.6178,False,True,10.0,F-43m,Cubic,False,0.0,6.1542009197235235,False,other,,,none
mp-556757,0.062,0.093,0.339,0.488,0.582,0.567,0.32766666666666666,0.062,0.582,K2NaNiF6,0.004150783000000935,0.0,True,False,10.0,Fm-3m,Cubic,True,1.0001063,3.132198865935813,False,other,,,none
mp-567458,0.362,0.038,0.225,0.272,0.396,0.474,0.32766666666666666,0.225,0.396,Ho(PRu)2,0.0,0.0,True,False,5.0,I4/mmm,Tetragonal,False,0.0,9.256790674792247,False,other,,,none
mp-32736,0.548,0.336,0.049,0.035,0.385,0.492,0.32733333333333337,0.049,0.548,Er2Se3,0.07561163824999895,1.6222000000000003,False,True,40.0,I-42d,Tetragonal,False,0.0036713,7.858953742585703,False,other,,,none
mp-27540,0.537,0.233,0.174,0.03,0.271,0.203,0.32733333333333337,0.174,0.537,Al(HO)3,0.02121848642857138,4.9963,False,False,56.0,P2_1/c,Monoclinic,False,0.000679,2.3905731934172305,False,other,,,none
